eid,fecha,monto,tipoTransaccion,cuentaOrigen,cuentaDestino
null,2023-05-08,508.67514039032926,Débito,Cuenta9942,Cuenta4440
null,2024-05-12,95.84129504461546,Crédito,Cuenta3576,Cuenta5832
null,2023-04-25,768.8965525559516,Crédito,Cuenta4134,Cuenta8290
null,2023-12-25,403.19696366445004,Débito,Cuenta9215,Cuenta7935
null,2024-03-08,524.4910767907465,Débito,Cuenta2274,Cuenta1682
null,2022-07-19,492.0347843958168,Transferencia,Cuenta3647,Cuenta2463
null,2022-02-14,962.3339737239388,Débito,Cuenta8633,Cuenta8065
null,2023-05-01,656.622599436416,Transferencia,Cuenta2071,Cuenta6567
null,2023-05-21,165.1471653348293,Transferencia,Cuenta8859,Cuenta3883
null,2023-01-10,24.754296166258683,Crédito,Cuenta7872,Cuenta1067
null,2023-11-10,506.75644536943497,Débito,Cuenta3938,Cuenta8225
null,2022-10-21,838.521718648639,Crédito,Cuenta6459,Cuenta3852
null,2024-10-09,536.018603697948,Transferencia,Cuenta6682,Cuenta7202
null,2024-05-07,87.98039049723971,Transferencia,Cuenta9345,Cuenta872
null,2023-10-11,73.01345038232643,Crédito,Cuenta3108,Cuenta9818
null,2024-03-20,939.8778689426116,Crédito,Cuenta1723,Cuenta1157
null,2022-06-22,6.142511256227112,Transferencia,Cuenta1608,Cuenta9346
null,2024-05-26,748.2794760479114,Débito,Cuenta9188,Cuenta6353
null,2023-11-22,161.32720052730144,Transferencia,Cuenta627,Cuenta6023
null,2023-03-04,56.295916468490304,Débito,Cuenta5015,Cuenta3286
null,2022-09-16,918.2030246562631,Transferencia,Cuenta4722,Cuenta7035
null,2023-04-07,127.64337142225213,Transferencia,Cuenta9672,Cuenta2516
null,2023-07-05,789.7645793709399,Débito,Cuenta1660,Cuenta2563
null,2022-03-10,259.6014731582045,Débito,Cuenta9244,Cuenta7446
null,2022-01-23,225.960235637242,Débito,Cuenta1312,Cuenta1920
null,2022-08-07,561.6287396841303,Transferencia,Cuenta8691,Cuenta3020
null,2024-04-11,552.0210899622494,Débito,Cuenta5004,Cuenta7052
null,2023-05-03,305.79027216095346,Transferencia,Cuenta6749,Cuenta2516
null,2022-09-12,474.6910640580927,Débito,Cuenta335,Cuenta7727
null,2024-04-22,85.33834715764266,Débito,Cuenta9207,Cuenta246
null,2024-05-14,716.7562545229226,Débito,Cuenta2360,Cuenta735
null,2022-02-17,628.3644791081002,Transferencia,Cuenta6911,Cuenta9064
null,2022-07-19,423.78930770088317,Transferencia,Cuenta5198,Cuenta3568
null,2022-02-22,660.5359247122904,Crédito,Cuenta5225,Cuenta2945
null,2022-04-09,355.4653053746337,Crédito,Cuenta3453,Cuenta4208
null,2024-01-10,890.116971650715,Transferencia,Cuenta6085,Cuenta9063
null,2022-02-28,245.3317153643998,Crédito,Cuenta8556,Cuenta6898
null,2022-07-03,201.96568889691568,Crédito,Cuenta430,Cuenta4923
null,2024-01-06,801.2110575645709,Crédito,Cuenta8924,Cuenta4077
null,2022-01-21,317.67719094085044,Crédito,Cuenta676,Cuenta346
null,2022-02-27,504.63613337411226,Débito,Cuenta6989,Cuenta5393
null,2022-12-27,458.3623377907313,Crédito,Cuenta429,Cuenta7427
null,2024-12-20,410.83948881981826,Transferencia,Cuenta198,Cuenta4578
null,2024-04-12,777.261720025359,Crédito,Cuenta7651,Cuenta513
null,2024-10-12,756.3714672877755,Transferencia,Cuenta6353,Cuenta1302
null,2022-10-20,390.87469657377426,Transferencia,Cuenta7576,Cuenta7889
null,2022-10-17,27.46447247859496,Crédito,Cuenta733,Cuenta7554
null,2023-09-08,664.4255821868501,Transferencia,Cuenta730,Cuenta5619
null,2022-03-01,158.0905397359028,Crédito,Cuenta3764,Cuenta6271
null,2024-01-14,903.5085753015677,Transferencia,Cuenta2489,Cuenta29
null,2023-09-02,559.4177776870035,Transferencia,Cuenta5414,Cuenta1907
null,2024-11-04,859.3043514607695,Transferencia,Cuenta7246,Cuenta6025
null,2024-08-28,764.4107910152226,Crédito,Cuenta5646,Cuenta2546
null,2023-11-05,143.68996784024336,Transferencia,Cuenta2588,Cuenta3702
null,2024-06-13,749.2287070130767,Débito,Cuenta2763,Cuenta9872
null,2022-01-23,794.8105608432928,Transferencia,Cuenta8427,Cuenta4409
null,2024-03-14,405.1960518025324,Débito,Cuenta4082,Cuenta330
null,2024-10-11,697.24006132261,Débito,Cuenta674,Cuenta647
null,2023-12-23,299.58100744069213,Transferencia,Cuenta846,Cuenta2857
null,2024-07-09,355.74658701068216,Transferencia,Cuenta4416,Cuenta2308
null,2023-07-25,825.8342246656981,Transferencia,Cuenta5177,Cuenta3712
null,2022-12-20,708.6082200840226,Crédito,Cuenta6757,Cuenta6288
null,2024-07-10,304.0745759494444,Débito,Cuenta332,Cuenta3718
null,2022-08-25,534.2211333871824,Transferencia,Cuenta7932,Cuenta663
null,2022-12-05,87.35288946319753,Transferencia,Cuenta6507,Cuenta2100
null,2023-08-28,724.6612677441861,Crédito,Cuenta7834,Cuenta2841
null,2023-11-25,44.90048487047715,Crédito,Cuenta7703,Cuenta7932
null,2022-01-08,29.22995942499307,Débito,Cuenta8244,Cuenta4499
null,2024-05-10,667.7407965553793,Crédito,Cuenta7536,Cuenta209
null,2024-03-01,939.0319586926705,Débito,Cuenta2139,Cuenta1980
null,2023-08-04,390.6692085330503,Crédito,Cuenta7386,Cuenta5776
null,2023-10-19,198.86045858926914,Crédito,Cuenta4116,Cuenta1040
null,2024-05-15,101.35922900002758,Crédito,Cuenta5675,Cuenta6022
null,2023-06-22,794.2053216799194,Crédito,Cuenta9189,Cuenta7230
null,2024-05-15,796.4670297294956,Débito,Cuenta2495,Cuenta3173
null,2022-07-03,872.9921828321795,Crédito,Cuenta3608,Cuenta2110
null,2024-06-11,490.0010378635551,Transferencia,Cuenta5753,Cuenta6124
null,2024-11-26,932.6936677308832,Transferencia,Cuenta9220,Cuenta1362
null,2023-12-14,406.4008464478455,Transferencia,Cuenta8007,Cuenta5078
null,2024-09-25,833.7159113604029,Transferencia,Cuenta3498,Cuenta7995
null,2022-02-22,945.9839232144241,Transferencia,Cuenta3358,Cuenta6673
null,2024-10-10,925.6133126905044,Crédito,Cuenta9881,Cuenta5001
null,2023-01-14,457.87062900489803,Débito,Cuenta1440,Cuenta4049
null,2024-02-19,325.8236678906792,Débito,Cuenta461,Cuenta5666
null,2022-12-22,228.3199317910839,Crédito,Cuenta1852,Cuenta9945
null,2024-04-09,607.9865686885552,Transferencia,Cuenta7388,Cuenta8669
null,2023-11-23,284.272077194779,Débito,Cuenta6939,Cuenta7535
null,2024-11-02,609.5987306841552,Transferencia,Cuenta5886,Cuenta810
null,2022-01-20,907.2664182287067,Crédito,Cuenta9051,Cuenta7099
null,2022-02-05,426.46157929083415,Débito,Cuenta3116,Cuenta9303
null,2023-01-26,216.6942472905088,Transferencia,Cuenta2586,Cuenta2838
null,2024-05-09,815.5555358483882,Crédito,Cuenta7514,Cuenta5322
null,2023-02-18,343.37430598557603,Crédito,Cuenta2666,Cuenta3431
null,2024-07-11,216.16111750998846,Transferencia,Cuenta7508,Cuenta3752
null,2023-11-02,108.40695989371352,Débito,Cuenta8299,Cuenta6367
null,2022-02-01,164.2235023773977,Transferencia,Cuenta8327,Cuenta1160
null,2024-03-21,28.592567936790992,Crédito,Cuenta2293,Cuenta6891
null,2024-07-22,325.4480669077441,Crédito,Cuenta537,Cuenta7756
null,2022-07-19,563.65669386455,Transferencia,Cuenta5629,Cuenta4452
null,2024-02-11,217.97838315368955,Débito,Cuenta1342,Cuenta9567
null,2023-08-25,897.9933727867947,Crédito,Cuenta6874,Cuenta3078
null,2023-12-24,565.4335984198659,Crédito,Cuenta9824,Cuenta550
null,2022-03-01,156.22190889908205,Transferencia,Cuenta1610,Cuenta3968
null,2022-03-09,56.638328344372546,Débito,Cuenta4654,Cuenta423
null,2023-02-22,725.7984833045911,Transferencia,Cuenta1585,Cuenta7968
null,2024-02-22,899.901775460053,Transferencia,Cuenta1724,Cuenta9906
null,2024-04-08,687.317894172187,Débito,Cuenta4509,Cuenta499
null,2023-11-27,92.05564294685608,Transferencia,Cuenta8027,Cuenta3071
null,2023-03-05,247.1951253884227,Transferencia,Cuenta5268,Cuenta8741
null,2023-11-21,18.755412088964583,Crédito,Cuenta3086,Cuenta1886
null,2022-08-28,297.7746355712295,Débito,Cuenta8536,Cuenta1479
null,2023-11-08,2.5388195954940684,Transferencia,Cuenta7978,Cuenta887
null,2024-04-20,903.6700856352334,Débito,Cuenta3963,Cuenta9270
null,2023-05-24,127.89963461757003,Transferencia,Cuenta4634,Cuenta5202
null,2023-04-09,217.7301909879459,Transferencia,Cuenta6263,Cuenta9463
null,2024-09-09,56.56296184101994,Transferencia,Cuenta2983,Cuenta5189
null,2024-02-18,872.0515983501888,Transferencia,Cuenta5170,Cuenta8835
null,2024-02-11,353.98530667881033,Débito,Cuenta1226,Cuenta4955
null,2024-04-18,852.0673196634933,Débito,Cuenta6835,Cuenta2200
null,2024-11-27,700.6734072866069,Transferencia,Cuenta3527,Cuenta8943
null,2024-11-04,120.01386138952653,Crédito,Cuenta9048,Cuenta5154
null,2024-05-25,92.69015442517959,Transferencia,Cuenta7849,Cuenta9569
null,2022-12-07,254.60155859320466,Crédito,Cuenta5254,Cuenta8802
null,2023-03-13,665.8785188053193,Crédito,Cuenta6020,Cuenta6104
null,2023-09-17,692.6050408715217,Crédito,Cuenta1545,Cuenta448
null,2022-07-16,190.20184977425203,Crédito,Cuenta2836,Cuenta1736
null,2022-07-25,113.95184814047421,Débito,Cuenta9918,Cuenta7822
null,2024-10-19,287.1305938103346,Crédito,Cuenta5564,Cuenta5488
null,2022-08-15,439.1012023225301,Crédito,Cuenta5303,Cuenta3432
null,2022-01-01,347.98459869958555,Débito,Cuenta8992,Cuenta8226
null,2022-06-10,367.435410440382,Crédito,Cuenta4493,Cuenta8572
null,2024-06-08,553.4578269260766,Crédito,Cuenta623,Cuenta8782
null,2023-05-07,93.22081842813401,Crédito,Cuenta2899,Cuenta2565
null,2023-09-17,567.5594377684229,Crédito,Cuenta1110,Cuenta416
null,2024-09-04,361.8267999812943,Transferencia,Cuenta3948,Cuenta7594
null,2023-09-17,726.1254065609876,Transferencia,Cuenta5247,Cuenta851
null,2024-06-14,534.4319470445243,Débito,Cuenta6828,Cuenta3458
null,2023-07-18,885.8524026092923,Transferencia,Cuenta88,Cuenta9724
null,2024-09-07,416.894951369415,Débito,Cuenta1120,Cuenta1569
null,2022-08-23,349.31067002375505,Transferencia,Cuenta4180,Cuenta5609
null,2024-08-11,566.234604594177,Transferencia,Cuenta6355,Cuenta3192
null,2024-08-04,703.8931408069777,Crédito,Cuenta8264,Cuenta3611
null,2022-10-26,510.31882329736277,Transferencia,Cuenta5546,Cuenta5232
null,2023-06-03,457.24962640014866,Crédito,Cuenta1273,Cuenta7098
null,2022-06-11,65.73187755823184,Crédito,Cuenta7128,Cuenta3271
null,2023-09-04,771.2992194755567,Transferencia,Cuenta1250,Cuenta7732
null,2022-07-27,817.3042605658184,Débito,Cuenta773,Cuenta2321
null,2024-08-27,293.4041253807205,Transferencia,Cuenta3535,Cuenta6457
null,2024-09-24,913.4434381337359,Débito,Cuenta1922,Cuenta7781
null,2022-01-23,38.1014611728544,Transferencia,Cuenta4424,Cuenta8936
null,2024-07-09,783.8502888139425,Transferencia,Cuenta4415,Cuenta7377
null,2024-10-17,616.1414033146295,Crédito,Cuenta1102,Cuenta8054
null,2023-02-14,989.665631618943,Transferencia,Cuenta1668,Cuenta6932
null,2022-08-14,302.14106386667936,Crédito,Cuenta995,Cuenta7528
null,2022-12-16,308.92079366149295,Débito,Cuenta7402,Cuenta8055
null,2022-07-08,967.4737593755558,Transferencia,Cuenta9815,Cuenta626
null,2023-07-25,140.55154110707613,Débito,Cuenta7797,Cuenta2918
null,2024-11-20,729.3131938592073,Débito,Cuenta40,Cuenta7570
null,2024-09-06,366.86735297337094,Crédito,Cuenta9122,Cuenta2779
null,2023-09-05,842.4259077301905,Crédito,Cuenta708,Cuenta33
null,2023-04-07,902.2493068105422,Débito,Cuenta2158,Cuenta7880
null,2023-02-15,732.4976187433081,Transferencia,Cuenta2606,Cuenta5489
null,2022-06-09,612.2765763477194,Crédito,Cuenta2457,Cuenta8939
null,2024-10-13,662.5465899261984,Crédito,Cuenta190,Cuenta8127
null,2024-06-04,677.2484402743763,Débito,Cuenta9289,Cuenta3738
null,2024-11-20,797.0570340021092,Transferencia,Cuenta6057,Cuenta7570
null,2024-05-04,649.8454498009727,Débito,Cuenta8164,Cuenta1091
null,2024-03-03,158.26615818475798,Crédito,Cuenta5251,Cuenta9179
null,2022-10-07,855.9863507227252,Crédito,Cuenta7759,Cuenta8652
null,2022-09-07,265.55796839439336,Crédito,Cuenta3825,Cuenta8512
null,2024-05-16,921.7480098401393,Crédito,Cuenta1610,Cuenta772
null,2023-01-07,387.68486822417316,Transferencia,Cuenta7732,Cuenta947
null,2024-04-22,785.5382106711893,Débito,Cuenta9199,Cuenta728
null,2023-02-28,737.0921564185388,Transferencia,Cuenta2665,Cuenta6819
null,2022-03-26,205.6177877117532,Crédito,Cuenta5861,Cuenta8327
null,2024-09-06,131.24126776191903,Débito,Cuenta8612,Cuenta7641
null,2023-11-23,826.5758981824313,Transferencia,Cuenta9507,Cuenta2719
null,2024-12-28,956.9375981141048,Crédito,Cuenta423,Cuenta2700
null,2024-09-01,846.6866625670206,Transferencia,Cuenta869,Cuenta3353
null,2024-04-22,919.5461330550582,Transferencia,Cuenta4673,Cuenta3254
null,2022-02-24,51.1350357213205,Débito,Cuenta5603,Cuenta2347
null,2024-12-28,372.24964272124225,Crédito,Cuenta8729,Cuenta2389
null,2022-07-15,56.8717447686855,Débito,Cuenta5558,Cuenta2456
null,2024-05-12,528.8280257103628,Transferencia,Cuenta7720,Cuenta7449
null,2023-09-07,92.041261809776,Transferencia,Cuenta8653,Cuenta5398
null,2023-12-16,841.3530133161901,Crédito,Cuenta7151,Cuenta9791
null,2024-07-23,413.72054905786746,Transferencia,Cuenta9689,Cuenta8570
null,2023-02-14,90.05105874220266,Crédito,Cuenta9369,Cuenta2183
null,2024-05-27,116.99363901105009,Crédito,Cuenta9000,Cuenta179
null,2024-06-15,297.8086403828948,Transferencia,Cuenta3308,Cuenta4789
